# Doors and gates whose open (or closed) form in the cache has an unrelated name.
# Each pair shares the same models, size and orientation; the second loc's first op is
# Close for an open form and Open for a closed form. Generated from the client cache by
# matching models; locs with a content group, category, multiloc or script are excluded.
# from<TAB>to
loc.mcannondoor	loc.witchdoor
loc.mcannondoor1	loc.witchdoor
loc.merlinworkshop	loc.witchdoor
loc.ctratgatea	loc.akd_xamphur_prisongateopen
loc.ctratgateb	loc.akd_xamphur_prisongateopen
loc.inaclefayeunopenabledoorl	loc.castlewars_saradomin_maindoorl_open
loc.inaclefayeunopenabledoorr	loc.castlewars_saradomin_maindoorr_open
loc.arena_prisondoor	loc.akd_xamphur_prisongateopen
loc.arena_jeremydoor	loc.akd_xamphur_prisongateopen
loc.fightarena_door1	loc.witchdoor
loc.fightarena_door2	loc.witchdoor
loc.ikov_mendedleverdoorl	loc.metalgateopenl
loc.ikov_mendedleverdoorr	loc.metalgateopenr
loc.ikov_firewarriordoor	loc.witchdoor
loc.ikov_dooroffearl	loc.metalgateopenl
loc.ikov_dooroffearr	loc.metalgateopenr
loc.ikov_shinykeydoor	loc.witchdoor
loc.ikov_luciendoor	loc.witchdoor
loc.plaguesheep_gatel	loc.death_openfencegate_l
loc.plaguesheep_gater	loc.death_openfencegate_r
loc.mm2_lab_door_right	loc.mm2_lab_door_right_open
loc.mm2_lab_door_left	loc.mm2_lab_door_left_open
loc.mm2_lab_door_right_open	loc.mm2_lab_door_right
loc.rustic_fencegate_l	loc.farming_openfencegate_l
loc.mm2_lab_door_left_open	loc.mm2_lab_door_left
loc.castledoor	loc.opencastledoor
loc.thickpoordoor	loc.openthickpoordoor
loc.openthickpoordoor	loc.thickpoordoor
loc.opencastledoor	loc.castledoor
loc.opencastledoubledoorl	loc.lefayeunopenabledoorl
loc.opencastledoubledoorr	loc.lefayeunopenabledoorr
loc.poordoor	loc.canifis_poh_doubledoorl_open
loc.poordooropen	loc.wydindoor
loc.elfdoor	loc.vc_elfdooropen
loc.elfdooropen	loc.elfdoor_reverse
loc.prisondoor	loc.prisondooropen
loc.prisondooropen	loc.prisondoor
loc.prisondoor_r	loc.prisondooropen_r
loc.prisondooropen_r	loc.prisondoor_r
loc.prisondoor_l	loc.prisondooropen_l
loc.prisondooropen_l	loc.prisondoor_l
loc.fencegate_l	loc.death_openfencegate_l
loc.openfencegate_l	loc.memberfencegate_l
loc.fencegate_r	loc.death_openfencegate_r
loc.farming_fencegate_l	loc.farming_openfencegate_l
loc.farming_fencegate_r	loc.farming_openfencegate_r
loc.farming_openfencegate_l	loc.farming_fencegate_l
loc.farming_openfencegate_r	loc.farming_fencegate_r
loc.openfencegate_r	loc.memberfencegate_r
loc.metalgateclosedl	loc.metalgateopenl
loc.metalgateclosedr	loc.metalgateopenr
loc.metalgateopenl	loc.metalgateclosedl
loc.metalgateopenr	loc.metalgateclosedr
loc.palacedoor_r	loc.openpalacedoor_r
loc.openpalacedoor_r	loc.palacedoor_r
loc.palacedoor_l	loc.openpalacedoor_l
loc.openpalacedoor_l	loc.palacedoor_l
loc.lockedmetalgatel	loc.metalgateopenl
loc.lockedmetalgater	loc.metalgateopenr
loc.lockeddoor1	loc.witchdoor
loc.dungeondoor	loc.witchdoor
loc.memberdoor	loc.witchdoor
loc.membergatel	loc.metalgateopenl
loc.membergater	loc.metalgateopenr
loc.memberfencegate_l	loc.death_openfencegate_l
loc.memberfencegate_r	loc.death_openfencegate_r
loc.magicguild_door_l	loc.castlewars_saradomin_maindoorl_open
loc.magicguild_door_r	loc.castlewars_saradomin_maindoorr_open
loc.brasskeydoor	loc.witchdoor
loc.golrie_gate_waterfall_quest	loc.akd_xamphur_prisongateopen
loc.mournerstewdoorup	loc.witchdoor
loc.mournerstewdoor	loc.witchdoor
loc.lathastraining_gatel	loc.metalgateopenl
loc.lathastraining_gater	loc.metalgateopenr
loc.guidorgatelclosed	loc.ii_fencegate_lc
loc.guidorgaterclosed	loc.ii_fencegate_rc
loc.elenadoor2	loc.witchdoor
loc.mournerquaters_gatel	loc.metalgateopenl
loc.mournerquaters_gater	loc.metalgateopenr
loc.wydindoor	loc.canifis_poh_doubledoorl_open
loc.slayertower_small_door	loc.slayertower_small_door_open
loc.slayertower_small_door_open	loc.slayertower_small_door
loc.slayertower_small_door_l	loc.slayertower_small_door_open
loc.slayertower_small_door_open_l	loc.slayertower_small_door_l
loc.slayertower_small_door_r	loc.slayertower_small_door_open_r
loc.slayertower_small_door_open_r	loc.slayertower_small_door_r
loc.slayertower_door	loc.slayertower_door_open
loc.slayertower_door_mirror	loc.slayertower_door_open_mirror
loc.slayertower_door_open	loc.slayertower_door
loc.slayertower_door_open_mirror	loc.slayertower_door_mirror
loc.barbariangatel	loc.metalgateopenl
loc.barbariangater	loc.metalgateopenr
loc.cauldrondoor	loc.akd_xamphur_prisongateopen
loc.cauldrondoor_l	loc.mourning_prisondooropen
loc.lockedguildgatel	loc.metalgateopenl
loc.lockedguildgater	loc.metalgateopenr
loc.khazard_stronghold_door	loc.witchdoor
loc.keepgate_closed	loc.metalgateopenr
loc.keepgate_closed_left	loc.metalgateopenl
loc.zombiequeengateclosedl	loc.metalgateopenl
loc.zombiequeengateclosedr	loc.metalgateopenr
loc.zqshilogateclosedl	loc.metalgateopenl
loc.zqshilogateclosedr	loc.metalgateopenr
loc.zqwoodengateclosed_l	loc.death_openfencegate_l
